"","volcano_name","volcano_number","min_easting","max_easting","min_northing","max_northing","NW_zone","NE_zone","SW_zone","SE_zone","vent_zone","resolution","mean_elevation","grid_name","zone_crossing","equator_crossing"
"128","Talang","261160","796822.78713221","575594.733712118","9338393.05061303","444937.320157513","46","48","-46","-48","-47","10000","97","261160_grid","1","1"
"129","Tambora","264040","716703.235649143","500000.000000003","8534350.31523741","9640773.48386047","-49","-51","-49","-51","-50","10000","37","264040_grid","1","0"
"130","TandikatSinggalang","261150","758313.157922553","536713.85302687","9403731.64358021","509977.541465012","46","48","-46","-48","-47","10000","109","261150_grid","1","1"
"131","TangkokoDuasudara","266130","187209.603190894","631628.409597398","9614662.66085418","721334.71791228","51","52","-51","-52","51","10000","62","266130_grid","1","1"
"132","TangkubanParahu","263090","232988.187794299","677978.805789106","8697761.2154621","9804284.42150963","-48","-49","-48","-49","-48","10000","47","263090_grid","1","0"
"133","TaraBatu","264260","672042.175142719","454959.116712292","8585449.67553195","9691500.05827666","-50","-52","-50","-52","-51","10000","52","264260_grid","1","0"
"134","TatunVolcanicGroup","281032","453293.883567872","264379.147592891","2231241.83265162","3341039.69238034","50","52","50","52","51","10000","109","281032_grid","1","0"
"135","Tavui","252150","521975.547688181","302189.340666708","8991388.29244499","97314.8524809038","55","57","-55","-57","-56","10000","36","252150_grid","1","1"
"136","TelongBurni","261050","368798.556184423","814031.89096085","9974436.37050812","1081166.09143288","46","47","-46","-47","47","10000","82","261050_grid","1","1"
"137","TenggerCaldera","263310","820104.261884837","605577.663162208","8567431.45323109","9674772.80958196","-48","-50","-48","-50","-49","10000","31","263310_grid","1","0"
"138","Teon","265050","624553.419514102","406805.193795221","8675842.19083469","9781567.23763388","-51","-53","-51","-53","-52","10000","25","265050_grid","1","0"
"139","Tinakula","256010","693618.857828961","478966.77604829","8298171.04415586","9404664.10756416","-57","-59","-57","-59","-58","10000","2","256010_grid","1","0"
"140","TraitorsHead","257090","417622.078975267","218468.421256269","7370273.84057054","8479349.55370602","-58","-60","-58","-60","-59","10000","4","257090_grid","1","0"
"141","Ulawun","252120","425444.092357875","207324.675520486","8887868.64862122","9994473.11725746","-55","-57","-55","-57","-56","10000","78","252120_grid","1","0"
"142","Victory","253030","174692.85624006","618753.467569836","8428169.57022346","9535684.24731074","-55","-56","-55","-56","-55","10000","139","253030_grid","1","0"
"143","Waiowa","253040","175408.45480821","619249.767786631","8387207.77033099","9494777.8037362","-55","-56","-55","-56","-55","10000","136","253040_grid","1","0"
"144","Witori","252080","334857.657588276","780044.359304604","8829791.74964693","9936313.16854765","-55","-56","-55","-56","-56","10000","104","252080_grid","1","0"
"145","Wurlali","265040","573447.415173321","355816.708686904","8659273.82146399","9765106.17565096","-51","-53","-51","-53","-52","10000","24","265040_grid","1","0"
