"","Volcano.Number","Volcano.Name","VEI2_annual_prob","VEI3_annual_prob","VEI4_annual_prob","VEI5_annual_prob","VEI6_annual_prob","VEI7_annual_prob"
"118",261270,"Suoh",0.001564889,0.00037575,0.000182648,9.13e-05,4.57e-05,1.1e-05
"119",257010,"Suretamatai",0.013765135,0.0036234,0.00133758,0.000382166,9.17e-05,8.6e-05
"120",273070,"Taal",0.058052036,0.013939048,0.006775632,0.003387816,0.001693908,0.000406538
"121",261160,"Talang",0.037827932,0.009957456,0.003675799,0.001050228,0.000252055,0.000236301
"122",264040,"Tambora",0.007905521,0.002080972,0.000768192,0.000219483,5.27e-05,4.94e-05
"123",261150,"Tandikat-Singgalang",0.008223464,0.002164664,0.000799087,0.000228311,5.48e-05,5.14e-05
"124",266130,"Tangkoko-Duasudara",0.008223464,0.002164664,0.000799087,0.000228311,5.48e-05,5.14e-05
"125",263090,"Tangkuban Parahu",0.044659972,0.011755855,0.004339679,0.001239908,0.000297578,0.000278979
"126",264260,"Tara, Batu",0.006578771,0.001731731,0.000639269,0.000182648,4.38e-05,4.11e-05
"127",281032,"Tatun Volcanic Group",4.54e-05,7.57e-05,3.44e-05,6.54e-06,1.64e-06,0
"128",252150,"Tavui",9.57e-05,2.3e-05,1.12e-05,5.58e-06,2.79e-06,6.7e-07
"129",261050,"Telong, Bur ni",0.011512849,0.00303053,0.001118721,0.000319635,7.67e-05,7.19e-05
"130",263310,"Tengger Caldera",0.17204621,0.045287765,0.016717998,0.004776571,0.001146377,0.001074728
"131",265050,"Teon",0.004934078,0.001298799,0.000479452,0.000136986,3.29e-05,3.08e-05
"132",256010,"Tinakula",0.077846641,0.02049159,0.007564479,0.00216128,0.000518707,0.000486288
"133",252120,"Ulawun",0.163932937,0.043152107,0.015929619,0.00455132,0.001092317,0.001024047
"134",253030,"Victory",0.005070091,0.001334601,0.000492669,0.000140762,3.38e-05,3.17e-05
"135",253040,"Waiowa",0.004393723,0.002222113,0.000351906,5.63e-05,0,0
"136",252080,"Witori",0.021880511,0.005253795,0.002553817,0.001276909,0.000638454,0.000153229
"137",265040,"Wurlali",0.003289385,0.000865866,0.000319635,9.13e-05,2.19e-05,2.05e-05
